sex,race,household_income,education,state,age_int,vote_trump,cell,high_income,high_education
Male,White,"$175,000 to $199,999",Masters&Doc,VA,31-40,1,"White Masters&Doc $175,000 to $199,999",1,1
Female,Black/African American,"Less than $14,999",Masters&Doc,MI,41-50,0,"Black/African American Masters&Doc Less than $14,999",0,1
Female,other asian or pacific islander,"$50,000 to $54,999",Highschool,PA,18-20,0,"other asian or pacific islander Highschool $50,000 to $54,999",0,0
Female,White,"$100,000 to $124,999",Masters&Doc,CA,61-70,0,"White Masters&Doc $100,000 to $124,999",0,1
Male,White,"$250,000 and above",College Degree,KY,31-40,1,"White College Degree $250,000 and above",0,1
Female,White,"$50,000 to $54,999",College Degree,NV,31-40,0,"White College Degree $50,000 to $54,999",0,1
Male,White,"$15,000 to $19,999",Highschool,IL,18-20,0,"White Highschool $15,000 to $19,999",0,0
Male,White,"$200,000 to $249,999",Masters&Doc,NY,41-50,0,"White Masters&Doc $200,000 to $249,999",1,1
Female,Other race,"$65,000 to $69,999",College Degree,GA,18-20,0,"Other race College Degree $65,000 to $69,999",0,1
Male,White,"$150,000 to $174,999",Masters&Doc,VA,41-50,0,"White Masters&Doc $150,000 to $174,999",1,1
Female,White,"$95,000 to $99,999",College Degree,IN,61-70,1,"White College Degree $95,000 to $99,999",0,1
Male,Black/African American,"$35,000 to $39,999",Masters&Doc,MD,21-30,0,"Black/African American Masters&Doc $35,000 to $39,999",0,1
Female,White,"$50,000 to $54,999",Associate Degree,CA,61-70,0,"White Associate Degree $50,000 to $54,999",0,1
Male,Chinese,"$250,000 and above",Masters&Doc,NJ,31-40,0,"Chinese Masters&Doc $250,000 and above",0,1
Male,White,"$30,000 to $34,999",Associate Degree,FL,41-50,0,"White Associate Degree $30,000 to $34,999",0,1
Male,other asian or pacific islander,"Less than $14,999",Masters&Doc,TX,41-50,1,"other asian or pacific islander Masters&Doc Less than $14,999",0,1
Male,White,"$200,000 to $249,999",Masters&Doc,WI,41-50,1,"White Masters&Doc $200,000 to $249,999",1,1
Male,Black/African American,"Less than $14,999",Highschool,FL,18-20,0,"Black/African American Highschool Less than $14,999",0,0
Male,White,"Less than $14,999",Highschool,MI,61-70,0,"White Highschool Less than $14,999",0,0
Male,White,"$40,000 to $44,999",Associate Degree,CA,21-30,0,"White Associate Degree $40,000 to $44,999",0,1
Male,White,"Less than $14,999",Highschool,IA,18-20,0,"White Highschool Less than $14,999",0,0
Male,White,"$200,000 to $249,999",Masters&Doc,OH,41-50,1,"White Masters&Doc $200,000 to $249,999",1,1
Male,White,"$25,000 to $29,999",Masters&Doc,MI,61-70,0,"White Masters&Doc $25,000 to $29,999",0,1
Male,White,"$200,000 to $249,999",Masters&Doc,NJ,31-40,1,"White Masters&Doc $200,000 to $249,999",1,1
Female,White,"$75,000 to $79,999",Masters&Doc,CA,61-70,0,"White Masters&Doc $75,000 to $79,999",0,1
Male,White,"Less than $14,999",Masters&Doc,TN,31-40,1,"White Masters&Doc Less than $14,999",0,1
Male,White,"$200,000 to $249,999",Masters&Doc,NY,31-40,0,"White Masters&Doc $200,000 to $249,999",1,1
Male,White,"$50,000 to $54,999",College Degree,MO,21-30,0,"White College Degree $50,000 to $54,999",0,1
Female,White,"$90,000 to $94,999",College Degree,OH,31-40,1,"White College Degree $90,000 to $94,999",0,1
Male,Other race,"Less than $14,999",Associate Degree,TX,21-30,0,"Other race Associate Degree Less than $14,999",0,1
Male,Black/African American,"$125,000 to $149,999",Highschool,MD,61-70,0,"Black/African American Highschool $125,000 to $149,999",0,0
Female,White,"$45,000 to $49,999",Highschool,AZ,80up,0,"White Highschool $45,000 to $49,999",0,0
Male,White,"$35,000 to $39,999",College Degree,ME,41-50,1,"White College Degree $35,000 to $39,999",0,1
Male,White,"$200,000 to $249,999",Masters&Doc,NJ,31-40,1,"White Masters&Doc $200,000 to $249,999",1,1
Male,White,"$50,000 to $54,999",Highschool,WI,51-60,1,"White Highschool $50,000 to $54,999",0,0
Male,White,"$30,000 to $34,999",Highschool,SC,51-60,1,"White Highschool $30,000 to $34,999",0,0
Female,White,"$45,000 to $49,999",Highschool,ID,31-40,1,"White Highschool $45,000 to $49,999",0,0
Female,White,"$125,000 to $149,999",College Degree,LA,31-40,1,"White College Degree $125,000 to $149,999",0,1
Male,White,"$50,000 to $54,999",Highschool,FL,21-30,1,"White Highschool $50,000 to $54,999",0,0
Male,Black/African American,"$45,000 to $49,999",Highschool,MO,31-40,0,"Black/African American Highschool $45,000 to $49,999",0,0
Male,White,"$200,000 to $249,999",Highschool,CO,18-20,0,"White Highschool $200,000 to $249,999",1,0
Male,White,"$20,000 to $24,999",Highschool,PA,61-70,1,"White Highschool $20,000 to $24,999",0,0
Male,White,"$200,000 to $249,999",Masters&Doc,NH,41-50,1,"White Masters&Doc $200,000 to $249,999",1,1
Male,White,"$250,000 and above",College Degree,VA,31-40,1,"White College Degree $250,000 and above",0,1
Male,Other race,"$35,000 to $39,999",College Degree,NC,41-50,1,"Other race College Degree $35,000 to $39,999",0,1
Male,Black/African American,"$35,000 to $39,999",Highschool,VA,51-60,0,"Black/African American Highschool $35,000 to $39,999",0,0
Male,White,"Less than $14,999",Highschool,FL,61-70,1,"White Highschool Less than $14,999",0,0
Female,White,"$25,000 to $29,999",Highschool,NE,61-70,0,"White Highschool $25,000 to $29,999",0,0
Male,White,"$150,000 to $174,999",Masters&Doc,CA,41-50,0,"White Masters&Doc $150,000 to $174,999",1,1
Female,White,"$20,000 to $24,999",Masters&Doc,OR,61-70,1,"White Masters&Doc $20,000 to $24,999",0,1
Female,White,"$100,000 to $124,999",College Degree,NJ,71-80,0,"White College Degree $100,000 to $124,999",0,1
Female,White,"$60,000 to $64,999",College Degree,PA,41-50,0,"White College Degree $60,000 to $64,999",0,1
Male,White,"$95,000 to $99,999",College Degree,WA,71-80,0,"White College Degree $95,000 to $99,999",0,1
Male,White,"$60,000 to $64,999",College Degree,FL,31-40,0,"White College Degree $60,000 to $64,999",0,1
Male,other asian or pacific islander,"$65,000 to $69,999",Masters&Doc,CA,31-40,0,"other asian or pacific islander Masters&Doc $65,000 to $69,999",0,1
Male,White,"$100,000 to $124,999",Masters&Doc,CA,41-50,1,"White Masters&Doc $100,000 to $124,999",0,1
Female,White,"$50,000 to $54,999",Highschool,AZ,51-60,1,"White Highschool $50,000 to $54,999",0,0
Male,White,"$150,000 to $174,999",Masters&Doc,NY,31-40,1,"White Masters&Doc $150,000 to $174,999",1,1
Female,White,"Less than $14,999",Masters&Doc,TX,31-40,1,"White Masters&Doc Less than $14,999",0,1
Female,White,"$30,000 to $34,999",Highschool,TX,21-30,0,"White Highschool $30,000 to $34,999",0,0
Male,White,"$70,000 to $74,999",Masters&Doc,FL,61-70,1,"White Masters&Doc $70,000 to $74,999",0,1
Female,White,"$40,000 to $44,999",Highschool,CA,41-50,0,"White Highschool $40,000 to $44,999",0,0
Male,Black/African American,"Less than $14,999",Highschool,CO,51-60,0,"Black/African American Highschool Less than $14,999",0,0
Male,Black/African American,"$70,000 to $74,999",Highschool,FL,21-30,0,"Black/African American Highschool $70,000 to $74,999",0,0
Female,White,"$60,000 to $64,999",Highschool,MD,61-70,1,"White Highschool $60,000 to $64,999",0,0
